"Name","Unmodelled (BP)",,,,,,"Modelled (BP)",,,,,,"Indices
Amodel 934.8
Aoverall 674.7",
,"from","to","%","from","to","%","from","to","%","from","to","%","Acomb","A","L","P","C",
"Curve IntCal20",,,,,,,,,,,,,,,,,,
"Sequence",,,,,,,,,,,,,,,,,,
"Boundary Start Early Mesolithic",,,,,,,"10850","10775","68.268949","10875","10725","95.449974",,,,,98.5,
"Sequence Early Mesolithic",,,,,,,,,,,,,,,,,,
"R_Date Ly-8689","11280","11105","68.268949","11600","10795","95.44997400000001","10835","10770","68.268949","10855","10720","95.449974",,6.7,,,99.1,
"R_Date GrA-23538","11245","10900","68.268949","11270","10790","95.449974","10820","10750","68.268949","10835","10715","95.449974",,10.4,,,99.2,
"R_Date GrA-13404","11070","10685","68.268949","11080","10585","95.44997299999999","10780","10710","68.268949","10810","10685","95.449974",,129.7,,,99.7,
"R_Date NZA-11022","11070","10595","68.268949","11080","10575","95.449973","10750","10680","68.268949","10780","10645","95.449974",,136.2,,,99.9,
"R_Date GrA-13974","10715","10580","68.268949","11060","10505","95.449973","10715","10640","68.268949","10740","10595","95.449974",,120.6,,,100,
"R_Date NZA-11016","10730","10570","68.268949","11070","10435","95.44997400000001","10675","10595","68.268949","10705","10570","95.449974",,132.6,,,100,
"R_Date Erl-10712","10705","10510","68.26894899999999","11065","10380","95.449974","10635","10560","68.268949","10680","10540","95.449974",,133.3,,,100,
"R_Date UtC-8389","10575","10430","68.268949","10655","10300","95.44997300000001","10585","10535","68.268949","10650","10505","95.449973",,107.3,,,99.9,
"R_Date UtC-9438","10580","10300","68.268949","10680","10250","95.449974","10575","10520","68.268949","10595","10480","95.449974",,123.9,,,99.9,
"R_Date UtC-7119","10570","10385","68.26895","10645","10275","95.449974","10555","10500","68.268949","10575","10470","95.449974",,113.3,,,99.9,
"R_Date Erl-10713","10570","10305","68.26894800000001","10655","10250","95.449973","10540","10485","68.268949","10560","10450","95.449974",,121.4,,,99.9,
"R_Date UtC-9225","10565","10305","68.268948","10645","10250","95.449974","10520","10460","68.268949","10550","10435","95.449974",,120.9,,,99.9,
"R_Date UtC-8398","10555","10305","68.26894899999999","10570","10290","95.449974","10510","10445","68.268949","10530","10415","95.449974",,125.9,,,99.9,
"R_Date UtC-3438","10655","10240","68.26895","11080","9960","95.449974","10495","10430","68.268949","10515","10405","95.449974",,136,,,99.8,
"R_Date UtC-7045","10495","10290","68.26894899999999","10555","10245","95.449973","10490","10410","68.268949","10500","10395","95.449974",,108.9,,,99.8,
"R_Date KIA-25480","10485","10290","68.26894899999999","10500","10250","95.449974","10480","10400","68.26894899999999","10490","10385","95.449974",,93.4,,,99.8,
"R_Date UtC-8393","10485","10280","68.26894899999999","10500","10245","95.449973","10475","10385","68.268949","10485","10375","95.449974",,96.7,,,99.8,
"R_Date UtC-8390","10410","10260","68.268949","10500","10245","95.449974","10430","10375","68.268949","10480","10360","95.449974",,92.3,,,99.8,
"R_Date NZA-11010","10480","10255","68.26894899999999","10550","10235","95.449974","10420","10370","68.268949","10465","10350","95.449974",,106.6,,,99.9,
"R_Date NZA-11011","10480","10250","68.26894899999999","10510","10235","95.449974","10410","10360","68.268949","10440","10335","95.449974",,106.2,,,99.9,
"R_Date NZA-11012","10405","10245","68.268949","10505","10230","95.449974","10405","10355","68.268949","10430","10330","95.449974",,106.3,,,99.9,
"R_Date KIA-25479","10380","10245","68.268949","10490","10240","95.44997400000001","10395","10345","68.268949","10415","10320","95.449974",,96.5,,,99.9,
"R_Date Lv-1092","10490","10235","68.268949","10650","10175","95.449973","10385","10335","68.268949","10410","10315","95.449974",,123,,,99.9,
"R_Date UtC-8961","10380","10240","68.268949","10490","10230","95.449974","10375","10325","68.268949","10400","10310","95.449974",,100.9,,,99.9,
"R_Date UtC-9224","10405","10240","68.26894899999999","10500","10225","95.44997400000001","10370","10320","68.268949","10390","10300","95.449974",,110.2,,,99.9,
"R_Date NZA-11024","10405","10240","68.26894899999999","10500","10225","95.44997400000001","10360","10315","68.268949","10380","10290","95.449974",,111.2,,,99.9,
